Date,Experiment ID,Version,Title,Description,CNN Architecture,Dataset,Epochs,Batch Size,Learning Rate,Optimizer,Scheduler,Weight Decay,Data Augmentation,Label Smoothing,Early Stopping,Best Epoch,Best Accuracy (%),Final Train Loss,Final Test Loss,Training Time (min),Decision,Notes
2026-07-16 22:26,E1R,v2.0.2,Framework Validation,Validation of the automated experiment framework,3-Block CNN,CIFAR-10,20.0,64.0,0.001,Adam,ReduceLROnPlateau,0.0,0.0,0.0,0.0,19.0,85.04,0.3748,0.4727,10.99,Accepted,Framework validation run
2026-07-16 22:52,E2,v2.1,Data Augmentation,Evaluate the effect of data augmentation,3-Block CNN,CIFAR-10,20.0,64.0,0.001,Adam,ReduceLROnPlateau,0.0,1.0,0.0,0.0,20.0,85.85,0.3203,0.4551,11.14,Accepted,Evaluate data augmentation
2026-07-16 23:26,E3,v2.2,Weight Decay,Evaluate the effect of L2 weight decay,3-Block CNN,CIFAR-10,20.0,64.0,0.001,Adam,ReduceLROnPlateau,0.0001,1.0,0.0,0.0,20.0,83.94,0.4548,0.5331,11.11,Accepted,Evaluate L2 weight decay
2026-07-20 22:37,E4,v2.3,Scheduler Optimisation,Evaluate CosineAnnealingLR scheduler,3-Block CNN,CIFAR-10,20.0,64.0,0.001,Adam,CosineAnnealingLR,0.0,1.0,0.0,0.0,20.0,84.07,0.4552,0.4786,11.58,Accepted,Evaluate CosineAnnealingLR scheduler
2026-07-20 23:01,E_Final,v3.0,Final Centralized Baseline,Evaluate the effect of data augmentation,3-Block CNN,CIFAR-10,20.0,64.0,0.001,Adam,ReduceLROnPlateau,0.0,1.0,0.0,0.0,19.0,85.21,0.3495,0.4657,11.61,Accepted,Final centralized baseline
2026-07-23 01:05,E_Final,v3.1,Final Centralized Baseline v3.1,Evaluate the effect of data augmentation,3-Block CNN,CIFAR-10,20.0,64.0,0.001,Adam,ReduceLROnPlateau,0.0,1.0,0.0,0.0,1.0,10.93,2.3028,2.3026,9.1,Accepted,Final centralized baseline v3.1
2026-07-23 01:24,E_Final,v3.1,Final Centralized Baseline v3.1,Evaluate the effect of data augmentation,3-Block CNN,CIFAR-10,1.0,64.0,0.001,Adam,ReduceLROnPlateau,0.0,1.0,0.0,0.0,1.0,10.93,2.3028,2.3026,0.43,Accepted,Final centralized baseline v3.1
2026-07-23 02:39,E_Final,v3.2,Final Centralized Baseline v3.2,Evaluate the effect of data augmentation,3-Block CNN,CIFAR-10,20.0,64.0,0.001,Adam,ReduceLROnPlateau,0.0,1.0,0.0,0.0,19.0,82.07,0.547,0.5637,8.97,Accepted,Final centralized baseline v3.2
2026-07-23 02:53,E_Final,v4.0,Final Centralized Baseline v4.0,Evaluate the effect of data augmentation,3-Block CNN,CIFAR-10,20.0,64.0,0.001,Adam,ReduceLROnPlateau,0.0,1.0,0.0,0.0,19.0,82.07,0.547,0.5637,8.94,Accepted,Final centralized baseline v4.0
2026-07-23 03:15,E_Final_v4.1,v4.1,Final Centralized Baseline v4.1,Evaluate the effect of data augmentation and weight decay,3-Block CNN,CIFAR-10,30.0,64.0,0.001,Adam,ReduceLROnPlateau,0.0001,1.0,0.1,0.0,30.0,85.25,0.8714,0.8701,13.68,Accepted,Final centralized baseline v4.1
,,,,,,,,,,,,,,,,,,,,,,
