Experiment,Reporting Label,Round,Training Loss,Test Loss,Test Accuracy (%),Cumulative Peak Accuracy (%),Source File
FedAvg,FedAvg baseline,1,1.7154258755361955,2.2525520415822413,10.76,10.76,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,2,1.4503922653805676,1.4745371531529032,40.14,40.14,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,3,1.1498550039947413,1.1111575368863005,59.33,59.33,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,4,0.9858454639744608,0.9165617694520648,67.36,67.36,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,5,0.8616773241264806,0.8020919016592062,71.91,71.91,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,6,0.7824773370080693,0.695338715033926,75.3,75.3,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,7,0.7169834391706308,0.6494066772187591,77.39,77.39,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,8,0.6557654583150414,0.5860836266712018,79.79,79.79,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,9,0.602973559707593,0.558750631323286,81.08,81.08,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,10,0.5669351345984041,0.5059009908111232,82.87,82.87,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,11,0.5285115184108162,0.4823453140676401,83.62,83.62,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,12,0.4994747540563534,0.4831929855570672,83.96,83.96,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,13,0.46385666722325,0.4486606043235511,85.32,85.32,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,14,0.4471238529226582,0.4563552309658117,85.2,85.32,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,15,0.4314466335116678,0.4209489497314593,86.26,86.26,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,16,0.4085667535377915,0.4254042201550903,86.19,86.26,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,17,0.3878139798048955,0.4143888232814278,86.66,86.66,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,18,0.3735241416912929,0.4056262819535413,86.87,86.87,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,19,0.3614192468155721,0.39842505302209,87.16,87.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,20,0.3516293181925063,0.3920035565355022,87.31,87.31,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,21,0.3398958826140993,0.3864768976049059,86.99,87.31,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,22,0.3244660344283292,0.4033540442680857,87.04,87.31,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,23,0.3198134472985177,0.3875538932669694,87.81,87.81,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,24,0.306647586224565,0.3715422399769163,88.18,88.18,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,25,0.3033692614762646,0.3706994346894656,88.25,88.25,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,26,0.2883640707203537,0.374084645822929,88.06,88.25,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
FedAvg,FedAvg baseline,27,0.2850989033841783,0.3742631444719377,88.23,88.25,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\FedAvg_history.csv
